Date,Step Count,Distance (km),Calories Burned
2019-03-09,3779,1594.00376,0.0
2019-03-10,3887,1639.0768299999995,0.0
2019-03-11,3728,1586.7885899999999,0.0
2019-03-12,4801,2151.9506,0.0
2019-03-13,4534,1889.9821399999994,0.0
2019-03-14,6922,3049.4408599999997,0.0
2019-03-15,7374,3204.00025,0.0
2019-03-16,3306,1461.7409700000003,0.0
2019-03-17,1941,846.19006,0.0
2019-03-18,4973,2119.36116,0.0
2019-03-19,4894,2191.00979,0.0
2019-03-20,6328,2737.9307099999996,0.0
2019-03-21,4202,1966.7082399999997,0.0
2019-03-22,8688,4256.46285,0.0
2019-03-23,2675,1179.0893400000002,0.0
2019-03-24,4134,1984.7652699999994,0.0
2019-03-25,6234,2805.5968779999994,0.0
2019-03-26,4181,1914.1584600000003,0.0
2019-03-27,6145,2614.6446599999995,0.0
2019-03-28,5077,2190.49431,0.0
2019-03-29,3387,1519.2589199999998,0.0
2019-03-30,6812,2835.9268099999995,0.0
2019-03-31,2572,1123.706647,0.0
2019-04-01,4984,2237.07865,0.0
2019-04-02,5526,2469.4901000000004,0.0
2019-04-03,6267,2769.75633,0.0
2019-04-04,6462,2584.115527000001,0.0
2019-04-05,16255,6648.76286,0.0
2019-04-06,9114,3799.090778,0.0
2019-04-07,6422,2862.4210799999996,0.0
2019-04-08,3728,1600.1186149999999,0.0
2019-04-09,6189,2573.6701399999993,0.0
2019-04-10,7226,3167.2781699999996,0.0
2019-04-11,5739,2459.188999999999,0.0
2019-04-12,6269,2787.551691,0.0
2019-04-13,3686,1543.0003100000001,0.0
2019-04-14,2549,1059.3379700000003,0.0
2019-04-15,1685,727.1529800000001,0.0
2019-04-16,402,183.03107,0.0
2019-04-17,6015,2500.95306,0.0
2019-04-18,2884,1188.0365100000001,0.0
2019-04-19,6565,2917.0331999999985,0.0
2019-04-20,8426,3811.254629999999,3156.7599999999998
2019-04-21,8975,3956.3800869999995,3712.16
2019-04-22,11651,5487.815565999997,5390.639999999999
2019-04-23,25319,11283.032408999998,6630.96
2019-04-24,11387,5560.653703999997,4584.28
2019-04-25,16062,7725.019303000005,5837.01
2019-04-26,17837,8239.599766999998,7106.849999999999
2019-04-27,13603,6310.615651000002,4702.320000000001
2019-04-28,17359,8171.974825000003,4860.59
2019-04-29,13566,5240.278000000001,4489.4400000000005
2019-04-30,9718,4607.030670000003,3557.6400000000003
2019-05-01,15379,7147.0402790000035,5693.06
2019-05-02,10798,5120.909624000003,4680.99
2019-05-03,12410,5953.924665,5276.4
2019-05-04,9116,4073.0879039999986,2595.9300000000003
2019-05-05,8930,3758.232981999999,645.8199999999999
2019-05-06,13252,6179.671350000004,5212.4800000000005
2019-05-07,10302,4899.734770000001,3771.33
2019-05-08,8557,3993.329548999999,3530.77
2019-05-09,14044,6819.951340000004,6093.17
2019-05-10,7915,3762.7783889999996,3799.66
2019-05-11,10769,4720.132537999999,3208.54
2019-05-12,7186,3381.2918999999993,2895.9300000000003
2019-05-13,14376,7010.638249999998,5485.68
2019-05-14,5723,2819.776292,4100.52
2019-05-15,966,344.8663766,205.42000000000002
2019-05-16,6618,2914.697789,376.56
2019-05-17,14290,6417.350480000002,3034.54
2019-05-18,18906,8845.058620000002,3924.1899999999996
2019-05-19,8875,4313.461509999999,3454.93
2019-05-20,20451,9528.700209000004,7421.799999999999
2019-05-21,12354,5974.450970999999,5152.59
2019-05-22,12780,6029.681761000004,5253.58
2019-05-23,7367,3433.763577999999,1777.1299999999999
2019-05-24,10257,4899.168747000001,3978.9100000000003
2019-05-25,4477,2082.6239870000004,3546.74
2019-05-26,8219,3829.3513870000015,4420.59
2019-05-27,4842,2230.804612000001,2411.23
2019-05-28,16994,8201.572259700002,6955.56
2019-05-29,9471,4370.292977000002,3145.65
2019-05-30,13403,4721.95705,6656.2699999999995
2019-05-31,11132,4938.656120000003,3897.39
2019-06-01,4839,2044.2028429999998,1217.03
2019-06-02,2809,1222.4009529999998,1002.6600000000001
2019-06-03,10124,4535.947673,4143.5
2019-06-04,10494,4787.261796999999,4201.87
2019-06-05,13038,5853.193327000002,4750.37
2019-06-06,14238,6306.067974999999,4681.57
2019-06-07,10886,4890.367654,4051.3999999999996
2019-06-08,6684,2884.8308049999987,3192.7300000000005
2019-06-09,781,341.44293999999996,19.74
2019-06-10,9985,4680.182624,2595.1299999999997
2019-06-11,11866,5311.212964000001,4233.65
2019-06-12,16456,7127.080347999999,5049.27
2019-06-13,12798,5667.506045999995,4214.45
2019-06-14,12654,5788.341959999997,4318.08
2019-06-15,10288,4523.130069000001,4199.8
2019-06-16,1816,770.6609430000001,147.47
2019-06-17,3320,1375.0791600000007,55.49
2019-06-18,4251,1870.8214200000004,88.85
2019-06-19,2740,1186.1830499999999,24.060000000000002
2019-06-20,4962,2038.20517,30.5914
2019-06-21,12980,5888.084433000001,5346.900000000001
2019-06-22,7727,3402.3752399999985,3145.57
2019-06-23,2472,966.850466,76.5
2019-06-24,22397,6679.148664,6912.110000000001
2019-06-25,3964,1696.9527979999998,1765.4099999999999
2019-06-26,10165,4416.7005309999995,3932.7300000000005
